#SpaceTrack

CAT ID,SATNAME,INTLDES,TYPE,COUNTRY,LAUNCH DATE,SITE,DECAY
205 ,TRAAC,1961-031B,PAYLOAD,US,1961-11-15,AFETR,
206 ,RANGER 2,1961-032A,PAYLOAD,US,1961-11-18,AFETR,1961-11-20
207 ,DISCOVERER 35 DEB,1961-030B,DEBRIS,US,1961-11-15,AFWTR,1961-11-23
208 ,MERCURY ATLAS 5,1961-033A,PAYLOAD,US,1961-11-29,AFETR,1961-11-29
209 ,ATLAS D 5 R/B,1961-033B,ROCKET BODY,US,1961-11-29,AFETR,1961-11-30
210 ,THOR ABLESTAR DEB,1961-015BE,DEBRIS,US,1961-06-29,AFETR,
211 ,THOR ABLESTAR DEB,1961-015BF,DEBRIS,US,1961-06-29,AFETR,2002-10-17
212 ,THOR ABLESTAR DEB,1961-015BG,DEBRIS,US,1961-06-29,AFETR,1988-08-11
213 ,DISCOVERER 36,1961-034A,PAYLOAD,US,1961-12-12,AFWTR,1962-03-08
214 ,OSCAR 1,1961-034B,PAYLOAD,US,1961-12-12,AFWTR,1962-01-31
215 ,DISCOVERER 36 CAPSULE,1961-034C,PAYLOAD,US,1961-12-12,AFWTR,1961-12-19
216 ,THOR ABLESTAR DEB,1961-015BH,DEBRIS,US,1961-06-29,AFETR,1989-11-13
217 ,SAMOS 5,1961-035A,PAYLOAD,US,1961-12-22,AFETR,1962-08-14
218 ,ATLAS AGENA B R/B,1961-035B,ROCKET BODY,US,1961-12-22,AFETR,1961-12-31
219 ,SAMOS 5 DEB (REFLECTOR),1961-035C,DEBRIS,US,1961-12-22,AFETR,1962-01-09
220 ,THOR ABLESTAR DEB,1961-015BJ,DEBRIS,US,1961-06-29,AFETR,1966-02-21
221 ,RANGER 3,1962-001A,PAYLOAD,US,1962-01-26,AFETR,
222 ,ATLAS AGENA B R/B,1962-001B,ROCKET BODY,US,1962-01-26,AFETR,
223 ,THOR ABLESTAR DEB,1961-015BK,DEBRIS,US,1961-06-29,AFETR,
224 ,THOR ABLESTAR DEB,1961-015BL,DEBRIS,US,1961-06-29,AFETR,
225 ,THOR ABLESTAR DEB,1961-015BM,DEBRIS,US,1961-06-29,AFETR,
226 ,TIROS 4,1962-002A,PAYLOAD,US,1962-02-08,AFETR,
227 ,DELTA 1 DEB (YO),1962-002B,DEBRIS,US,1962-02-08,AFETR,
228 ,DELTA 1 DEB (YO),1962-002C,DEBRIS,US,1962-02-08,AFETR,
229 ,DELTA 1 R/B,1962-002D,ROCKET BODY,US,1962-02-08,AFETR,2002-08-10
230 ,THOR ABLESTAR DEB,1961-015BN,DEBRIS,US,1961-06-29,AFETR,
231 ,THOR ABLESTAR DEB,1961-015BP,DEBRIS,US,1961-06-29,AFETR,1965-02-13
232 ,THOR ABLESTAR DEB,1961-015BQ,DEBRIS,US,1961-06-29,AFETR,
233 ,THOR ABLESTAR DEB,1961-015BR,DEBRIS,US,1961-06-29,AFETR,
234 ,THOR ABLESTAR DEB,1961-015BS,DEBRIS,US,1961-06-29,AFETR,
235 ,THOR ABLESTAR DEB,1961-015BT,DEBRIS,US,1961-06-29,AFETR,
236 ,THOR ABLESTAR DEB,1961-015BU,DEBRIS,US,1961-06-29,AFETR,1969-05-13
237 ,THOR ABLESTAR DEB,1961-015BV,DEBRIS,US,1961-06-29,AFETR,1969-04-12
238 ,THOR ABLESTAR DEB,1961-015BW,DEBRIS,US,1961-06-29,AFETR,1969-12-07
239 ,THOR ABLESTAR DEB,1961-015BX,DEBRIS,US,1961-06-29,AFETR,1967-06-17
240 ,MERCURY ATLAS 6,1962-003A,PAYLOAD,US,1962-02-20,AFETR,1962-02-20
241 ,ATLAS D R/B,1962-003B,ROCKET BODY,US,1962-02-20,AFETR,1962-02-21
242 ,FTV 2301,1962-004A,PAYLOAD,US,1962-02-21,AFWTR,1962-03-04
243 ,THOR ABLESTAR DEB,1961-015BY,DEBRIS,US,1961-06-29,AFETR,
244 ,THOR ABLESTAR DEB,1961-015BZ,DEBRIS,US,1961-06-29,AFETR,
245 ,THOR ABLESTAR DEB,1961-015CA,DEBRIS,US,1961-06-29,AFETR,
246 ,THOR ABLESTAR DEB,1961-015CB,DEBRIS,US,1961-06-29,AFETR,
247 ,DISCOVERER 38,1962-005A,PAYLOAD,US,1962-02-27,AFWTR,1962-03-21
248 ,DISCOVERER 38 DEB,1962-005B,DEBRIS,US,1962-02-27,AFWTR,1962-03-03
249 ,DISCOVERER 38 DEB,1962-005C,DEBRIS,US,1962-02-27,AFWTR,1962-03-03
250 ,THOR ABLESTAR DEB,1961-015CC,DEBRIS,US,1961-06-29,AFETR,1981-09-13
251 ,DISCOVERER 38 DEB,1962-005D,DEBRIS,US,1962-02-27,AFWTR,1962-03-07
252 ,THOR ABLESTAR DEB,1961-015CD,DEBRIS,US,1961-06-29,AFETR,
253 ,THOR ABLESTAR DEB,1961-015CE,DEBRIS,US,1961-06-29,AFETR,
254 ,THOR ABLESTAR DEB,1961-015CF,DEBRIS,US,1961-06-29,AFETR,
255 ,OSO 1,1962-006A,PAYLOAD,US,1962-03-07,AFETR,1981-10-08
256 ,SAMOS 6,1962-007A,PAYLOAD,US,1962-03-07,AFWTR,1963-06-07
257 ,DELTA 1 R/B,1962-006B,ROCKET BODY,US,1962-03-07,AFETR,1970-05-03
258 ,SAMOS 6 DEB (REFLECTOR),1962-007B,DEBRIS,US,1962-03-07,AFWTR,1962-03-31
259 ,ATLAS AGENA B R/B,1962-007C,ROCKET BODY,US,1962-03-07,AFWTR,1962-11-03
260 ,THOR ABLESTAR DEB,1961-015CG,DEBRIS,US,1961-06-29,AFETR,
261 ,THOR ABLESTAR DEB,1961-015CH,DEBRIS,US,1961-06-29,AFETR,
